ranking_id,team_id,ranking_type,ranking_date,rank,rating,previous_rank,source_name,source_url,fetched_at,raw_data
rank-senegal,senegal,FIFA,2026-06-11,15,1684.07,15,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Senegal"",""rank"":15,""totalPoints"":1684.07,""dateId"":""id15136""}"
rank-south-africa,south-africa,FIFA,2026-06-11,60,1428.38,60,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""South Africa"",""rank"":60,""totalPoints"":1428.38,""dateId"":""id15136""}"
rank-south-korea,south-korea,FIFA,2026-06-11,25,1591.63,25,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Korea Republic"",""rank"":25,""totalPoints"":1591.63,""dateId"":""id15136""}"
rank-spain,spain,FIFA,2026-06-11,2,1874.71,2,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Spain"",""rank"":2,""totalPoints"":1874.71,""dateId"":""id15136""}"
rank-sweden,sweden,FIFA,2026-06-11,38,1509.79,38,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Sweden"",""rank"":38,""totalPoints"":1509.79,""dateId"":""id15136""}"
rank-switzerland,switzerland,FIFA,2026-06-11,19,1650.06,19,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Switzerland"",""rank"":19,""totalPoints"":1650.06,""dateId"":""id15136""}"
rank-tunisia,tunisia,FIFA,2026-06-11,45,1476.41,45,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Tunisia"",""rank"":45,""totalPoints"":1476.41,""dateId"":""id15136""}"
rank-turkey,turkey,FIFA,2026-06-11,22,1605.73,22,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Türkiye"",""rank"":22,""totalPoints"":1605.73,""dateId"":""id15136""}"
rank-uruguay,uruguay,FIFA,2026-06-11,16,1673.07,16,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Uruguay"",""rank"":16,""totalPoints"":1673.07,""dateId"":""id15136""}"
rank-usa,usa,FIFA,2026-06-11,17,1671.23,17,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""USA"",""rank"":17,""totalPoints"":1671.23,""dateId"":""id15136""}"
rank-uzbekistan,uzbekistan,FIFA,2026-06-11,50,1458.73,50,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Uzbekistan"",""rank"":50,""totalPoints"":1458.73,""dateId"":""id15136""}"
